trust_code,trust_name,mrc_off_201718,mrc_off_201819,mrc_off_201920,mrc_off_202021,mrc_off_202122,mrc_off_202223,mrc_off_202324,mrc_on_201718,mrc_on_201819,mrc_on_201920,mrc_on_202021,mrc_on_202122,mrc_on_202223,mrc_on_202324,mrc_service_provision_201718,mrc_service_provision_201819,mrc_service_provision_201920,mrc_service_provision_202021,mrc_service_provision_202122,mrc_service_provision_202223,mrc_service_provision_202324,mrc_type_201718,mrc_type_201819,mrc_type_201920,mrc_type_202021,mrc_type_202122,mrc_type_202223,mrc_type_202324,mrc_total_201718,mrc_total_201819,mrc_total_201920,mrc_total_202021,mrc_total_202122,mrc_total_202223,mrc_total_202324,current_name_in_foi,trust_type_from_foi,trust_epr,in_foi_data,all_admissions_22,emergency_admissions_22,mrc_total_202324_perpatient
RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,58797.0,60770.0,49806.0,0.0,0.0,0.0,0.0,862227.0,1002022.0,1042832.0,0.0,0.0,0.0,0.0,Internal,Internal,Internal,,,,,Mixed,3. Mixed,3. Mixed,,,,,921024.0,1062792.0,1092638.0,0.0,0.0,0.0,0.0,,,,False,,,
RC1,BEDFORD HOSPITAL NHS TRUST,50394.0,48249.0,18870.0,0.0,0.0,0.0,0.0,1141662.0,1168062.0,1656901.0,0.0,0.0,0.0,0.0,Internal,Internal,Extenal,,,,,Paper,1. Paper,3. Mixed,,,,,1192056.0,1216311.0,1675771.0,0.0,0.0,0.0,0.0,,,,False,,,
RWX,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,104032.0,176024.0,76240.0,40185.0,43555.0,53863.0,63296.0,101278.0,48744.0,49616.0,48920.0,52902.0,62591.0,67690.0,Hybrid,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,205310.0,224768.0,125856.0,89105.0,96457.0,116454.0,130986.0,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RXT,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,119000.0,130000.0,130000.0,150000.0,150000.0,180916.0,181956.0,406574.0,355077.0,449928.0,429141.0,451729.0,538630.0,631430.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Internal,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,525574.0,485077.0,579928.0,579141.0,601729.0,719546.0,813386.0,BIRMINGHAM AND SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,Mental Health,The Access Group,True,,,
RYW,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BIRMINGHAM COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Community,The Access Group,True,,,
RQ3,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,403595.0,422015.0,468008.0,498651.0,394299.0,769397.0,652204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,403595.0,422015.0,468008.0,498651.0,394299.0,769397.0,652204.0,BIRMINGHAM WOMEN'S AND CHILDREN'S NHS FOUNDATION TRUST,Acute,No EPR -  in process of getting one,True,,,
TAJ,"BLACK COUNTRY PARTNERSHIP NHS FOUNDATION TRUST, BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST",87910.0,99720.0,54642.0,121503.0,130805.0,162320.0,128901.0,391918.0,403005.0,508832.0,600840.0,505687.0,578078.0,330800.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,479828.0,502725.0,563474.0,722343.0,636492.0,740398.0,459701.0,BLACK COUNTRY HEALTHCARE NHS FOUNDATION TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,0.0,0.0,31075.0,77778.0,50519.0,80456.0,42271.0,1429847.0,1581346.0,1784421.0,1857881.0,2005353.0,2971883.0,3398689.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1429847.0,1581346.0,1815496.0,1935659.0,2055872.0,3052339.0,3440960.0,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,Acute,No EPR -  in process of getting one,True,316122.0,316122.0,10.88
RMC,BOLTON NHS FOUNDATION TRUST,0.0,120452.0,87290.0,115309.0,153688.0,188672.0,210972.0,243377.0,2043890.0,2043890.0,1913936.0,2041226.0,2175947.0,2295624.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,243377.0,2164342.0,2131180.0,2029245.0,2194914.0,2364619.0,2506596.0,BOLTON NHS FOUNDATION TRUST,Acute,Altera Digital Health,True,444884.0,430679.0,5.63
TAD,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,80000.0,80000.0,80000.0,61932.0,65650.0,77922.0,74209.0,53000.0,53000.0,144308.0,144308.0,76580.0,80409.0,81427.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,133000.0,133000.0,224308.0,206240.0,142230.0,158331.0,155636.0,BRADFORD DISTRICT CARE NHS FOUNDATION TRUST,Mental Health and Community (Combined),TPP,True,,,
RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,31328.0,24097.0,21346.0,21997.0,417797.0,220452.0,245543.0,1162229.0,1024371.0,722364.0,618712.0,407815.0,386874.0,96160.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1193557.0,1048468.0,743710.0,640709.0,825612.0,607326.0,341703.0,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,414403.0,414403.0,0.82
RY2,"BRIDGEWATER COMMUNITY HEALTHCARE NHS TRUST, BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST",136873.0,91832.0,96032.0,145585.0,116636.0,91990.0,63360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Hybrid,Extenal,External,Internal,External,Hybrid,Paper,3. Mixed,1. Paper,1. Paper,3. Mixed,3. Mixed,3. Mixed,136873.0,91832.0,96032.0,145585.0,116636.0,91990.0,63360.0,BRIDGEWATER COMMUNITY HEALTHCARE NHS FOUNDATION TRUST,Community,TPP,True,,,
RXH,BRIGHTON AND SUSSEX UNIVERSITY HOSPITALS NHS TRUST,174209.0,178971.0,219980.0,131829.0,0.0,0.0,0.0,2517374.0,2639371.0,2629110.0,3079293.0,0.0,0.0,0.0,Hybrid,Hybrid,Hybrid,Hybrid,,,,Mixed,3. Mixed,3. Mixed,3. Mixed,,,,2691583.0,2818342.0,2849090.0,3211122.0,0.0,0.0,0.0,,,,False,,,
RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495869.0,1327077.0,1038961.0,1252856.0,1312183.0,0.0,0.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1. Paper,1495869.0,1327077.0,1038961.0,1252856.0,1312183.0,0.0,0.0,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,Acute,System C Healthcare Ltd,True,470882.0,418169.0,0.0
RJF,BURTON HOSPITALS NHS FOUNDATION TRUST,59882.0,0.0,0.0,0.0,0.0,0.0,0.0,1240118.0,0.0,0.0,0.0,0.0,0.0,0.0,Internal,,,,,,,Mixed,,,,,,,1300000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,False,,,
RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,12000.0,13693.0,15500.0,15500.0,12366.0,13263.0,14645.0,143000.0,20704.0,666106.0,420000.0,351600.0,376149.0,394539.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,155000.0,34397.0,681606.0,435500.0,363966.0,389412.0,409184.0,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,448978.0,448978.0,0.91
RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,23210.0,23210.0,23121.0,23689.0,24400.0,24400.0,24400.0,106530.0,104026.0,127046.0,104000.0,103746.0,133766.0,168994.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,129740.0,127236.0,150167.0,127689.0,128146.0,158166.0,193394.0,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,Acute,Epic Systems Corporation,True,460025.0,450094.0,0.42
RT1,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,37699.0,56502.0,36263.0,55580.0,67841.0,82580.0,109722.0,0.0,0.0,16253.0,16200.0,32012.0,18410.0,18410.0,Hybrid,Hybrid,Hybrid,Hybrid,Internal,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,37699.0,56502.0,52516.0,71780.0,99853.0,100990.0,128132.0,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,Mental Health and Community (Combined),TPP,True,,,
RYV,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,41689.0,50835.0,100000.0,100000.0,92566.0,120393.0,140990.0,0.0,11641.0,11892.0,12982.0,13714.0,11491.0,16019.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,41689.0,62476.0,111892.0,112982.0,106280.0,131884.0,157009.0,CAMBRIDGESHIRE COMMUNITY SERVICES NHS TRUST,Community,TPP,True,,,
TAF,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,55000.0,55000.0,55000.0,55000.0,56000.0,58520.0,59413.0,27460.0,28620.0,31895.0,32213.0,33248.0,34943.0,35632.0,Other,Extenal,Extenal,External,External,External,External,Paper,1. Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,82460.0,83620.0,86895.0,87213.0,89248.0,93463.0,95045.0,CAMDEN AND ISLINGTON NHS FOUNDATION TRUST,Mental Health and Community (Combined),The Access Group,True,,,
RV3,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,104659.0,103974.0,153309.0,150619.0,119272.0,138464.0,143706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,104659.0,103974.0,153309.0,150619.0,119272.0,138464.0,143706.0,CENTRAL AND NORTH WEST LONDON NHS FOUNDATION TRUST,Mental Health and Community (Combined),TPP,True,,,
RYX,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,38828.0,42560.0,26842.0,27242.0,28740.0,20000.0,21457.0,246020.0,225690.0,226512.0,234623.0,249527.0,264750.0,259800.0,Extenal,Hybrid,Hybrid,Hybrid,Hybrid,External,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,284848.0,268250.0,253354.0,261865.0,278267.0,284750.0,281257.0,CENTRAL LONDON COMMUNITY HEALTHCARE NHS TRUST,Mental Health and Community (Combined),TPP,True,,,
RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,425463.0,311186.0,282398.0,331228.0,488625.0,466353.0,582305.0,2371874.0,3130093.0,1890141.0,1416911.0,1547327.0,1243574.0,1101852.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,2797337.0,3441279.0,2172539.0,1748139.0,2035952.0,1709927.0,1684157.0,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,536494.0,548473.0,3.14
RXA,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,74814.0,89925.0,69841.0,65983.0,65983.0,94360.0,133968.0,73075.0,73075.0,75480.0,20165.0,20165.0,19253.0,0.0,Hybrid,Internal,Internal,Internal,Internal,Hybrid,External,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,147889.0,163000.0,145321.0,86148.0,86148.0,113613.0,133968.0,CHESHIRE AND WIRRAL PARTNERSHIP NHS FOUNDATION TRUST,Mental Health and Community (Combined),TPP,True,,,
RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,34762.0,49255.0,76465.0,45096.0,61370.0,61011.0,63055.0,901346.0,1046718.0,1079882.0,1099992.0,1162068.0,1227995.0,1404015.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,936108.0,1095973.0,1156347.0,1145088.0,1223438.0,1289006.0,1467070.0,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,Acute,System C Healthcare Ltd,True,296765.0,296765.0,4.94
RLN,CITY HOSPITALS SUNDERLAND NHS FOUNDATION TRUST,152837.0,196006.0,0.0,0.0,0.0,0.0,0.0,2064558.0,2251729.0,0.0,0.0,0.0,0.0,0.0,Internal,Internal,,,,,,Mixed,3. Mixed,,,,,,2217395.0,2447735.0,0.0,0.0,0.0,0.0,0.0,,,,False,,,
REN,CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,58000.0,54089.0,51051.0,49924.0,58080.0,41116.0,45274.0,0.0,50888.0,31500.0,23954.0,24448.0,27588.0,28694.0,Internal,Internal,Internal,Internal,Internal,Internal,Hybrid,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,58000.0,104977.0,82551.0,73878.0,82528.0,68704.0,73968.0,THE CLATTERBRIDGE CANCER CENTRE NHS FOUNDATION TRUST,Acute,Meditech Group Limited,True,,,
RJ8,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,85764.0,107332.0,122741.0,130211.0,134812.0,142415.0,165174.0,12296.0,12933.0,13516.0,14999.0,39044.0,20456.0,37932.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,98060.0,120265.0,136257.0,145210.0,173856.0,162871.0,203106.0,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,Mental Health,The Access Group,True,,,
RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,50872.0,51275.0,54460.0,80881.0,67574.0,69162.0,77241.0,75000.0,75000.0,128994.0,146038.0,161222.0,154138.0,169753.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,1. Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,125872.0,126275.0,183454.0,226919.0,228796.0,223300.0,246994.0,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,215967.0,215967.0,1.14
RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,506212.0,470989.0,443674.0,409303.0,429165.0,464261.0,489843.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Other,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Electronic,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,506212.0,470989.0,443674.0,409303.0,429165.0,464261.0,489843.0,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,Acute,Oracle Cerner Corporation,True,545420.0,578205.0,0.9
RYG,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,120322.0,122836.0,144000.0,158300.0,154040.0,162000.0,156500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Extenal,Extenal,Extenal,External,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,120322.0,122836.0,144000.0,158300.0,154040.0,162000.0,156500.0,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,Mental Health and Community (Combined),Advanced Health and Care Limited,True,,,
RJ6,CROYDON HEALTH SERVICES NHS TRUST,325234.0,322777.0,225000.0,225000.0,281508.0,281508.0,216347.0,608901.0,622471.0,643382.0,643382.0,666576.0,666576.0,467899.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Paper,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,934135.0,945248.0,868382.0,868382.0,948084.0,948084.0,684246.0,CROYDON HEALTH SERVICES NHS TRUST,Acute,Oracle Cerner Corporation,True,388563.0,388563.0,1.76
RNN,"CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST, NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",120078.0,123616.0,167675.0,148076.0,181364.0,188253.0,163424.0,50.0,311305.0,2240627.0,2126979.0,2008324.0,2127842.0,2108094.0,Hybrid,Hybrid,Internal,Internal,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,120128.0,434921.0,2408302.0,2275055.0,2189688.0,2316095.0,2271518.0,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,Acute,No EPR -  in process of getting one,True,318381.0,318381.0,7.13
RN7,DARTFORD AND GRAVESHAM NHS TRUST,63339.0,71597.0,65257.0,141138.0,129972.0,132899.0,168588.0,1564030.0,1672034.0,1233174.0,1239609.0,1249609.0,1489499.0,1558051.0,Internal,Hybrid,Hybrid,Hybrid,Hybrid,External,External,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,1627369.0,1743631.0,1298431.0,1380747.0,1379581.0,1622398.0,1726639.0,DARTFORD AND GRAVESHAM NHS TRUST,Acute,Alcidion,True,327134.0,327134.0,5.28
RY8,"DERBYSHIRE COMMUNITY HEALTH SERVICES NHS TRUST, DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST",61709.0,77000.0,102000.0,89529.0,72480.0,94668.0,94668.0,93600.0,96127.0,770428.0,770428.0,770428.0,750428.0,750428.0,Internal,Internal,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,155309.0,173127.0,872428.0,859957.0,842908.0,845096.0,845096.0,DERBYSHIRE COMMUNITY HEALTH SERVICES NHS FOUNDATION TRUST,Community,TPP,True,,,
RXM,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,57579.0,63037.0,61809.0,61800.0,88523.0,83343.0,83343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Internal,Internal,Internal,Internal,Internal,Internal,Internal,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,57579.0,63037.0,61809.0,61800.0,88523.0,83343.0,83343.0,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,Mental Health,TPP,True,,,
RWV,DEVON PARTNERSHIP NHS TRUST,51454.0,48829.0,52719.0,53925.0,67101.0,61724.0,74393.0,2397.0,4511.0,0.0,0.0,0.0,0.0,0.0,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Hybrid,Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,3. Mixed,53851.0,53340.0,52719.0,53925.0,67101.0,61724.0,74393.0,DEVON PARTNERSHIP NHS TRUST,Mental Health,TPP,True,,,
